,코드,요양기관소재지구분,환자수,총사용량,진료금액,년도
2,HA614,계,677,707,"93,590",2010년
3,HA614,서울,393,410,"55,364",2010년
4,HA614,부산,11,11,"1,255",2010년
5,HA614,인천,9,9,"1,281",2010년
6,HA614,대구,31,34,"4,055",2010년
7,HA614,광주,1,1,93,2010년
8,HA614,대전,8,10,"1,347",2010년
9,HA614,울산,8,8,734,2010년
10,HA614,경기,112,115,"13,375",2010년
11,HA614,강원,7,7,987,2010년
12,HA614,충북,11,14,"1,360",2010년
13,HA614,충남,8,11,"2,326",2010년
14,HA614,전북,4,7,"1,070",2010년
15,HA614,전남,1,1,267,2010년
16,HA614,경북,2,2,251,2010년
17,HA614,경남,62,55,"8,645",2010년
18,HA614,제주,10,11,"1,179",2010년
19,HA614,세종,-,-,-,2010년
2,HA614,계,754,755,"107,477",2011년
3,HA614,서울,442,450,"64,507",2011년
4,HA614,부산,24,24,"3,310",2011년
5,HA614,인천,14,14,"1,764",2011년
6,HA614,대구,34,35,"4,822",2011년
7,HA614,광주,5,4,705,2011년
8,HA614,대전,5,5,744,2011년
9,HA614,울산,8,8,"1,291",2011년
10,HA614,경기,120,136,"16,330",2011년
11,HA614,강원,11,12,"2,011",2011년
12,HA614,충북,5,4,539,2011년
13,HA614,충남,5,5,"1,081",2011년
14,HA614,전북,4,4,753,2011년
15,HA614,전남,1,0,89,2011년
16,HA614,경북,4,4,379,2011년
17,HA614,경남,64,38,"7,691",2011년
18,HA614,제주,9,13,"1,462",2011년
19,HA614,세종,-,-,-,2011년
2,HA614,계,769,806,"122,476",2012년
3,HA614,서울,438,467,"72,092",2012년
4,HA614,부산,23,22,"3,085",2012년
5,HA614,인천,17,19,"2,609",2012년
6,HA614,대구,33,36,"4,313",2012년
7,HA614,광주,5,4,656,2012년
8,HA614,대전,12,12,"2,001",2012년
9,HA614,울산,5,6,959,2012년
10,HA614,경기,140,159,"21,730",2012년
11,HA614,강원,8,8,"1,027",2012년
12,HA614,충북,2,4,623,2012년
13,HA614,충남,4,6,"1,025",2012년
14,HA614,전북,11,12,"1,957",2012년
15,HA614,전남,-,-,-,2012년
16,HA614,경북,5,4,601,2012년
17,HA614,경남,65,43,"9,256",2012년
18,HA614,제주,3,3,543,2012년
19,HA614,세종,-,-,-,2012년
2,HA614,계,836,837,"129,939",2013년
3,HA614,서울,398,408,"65,976",2013년
4,HA614,부산,26,34,"4,976",2013년
5,HA614,인천,15,16,"2,881",2013년
6,HA614,대구,43,42,"5,212",2013년
7,HA614,광주,7,7,961,2013년
8,HA614,대전,12,10,"2,062",2013년
9,HA614,울산,7,7,870,2013년
10,HA614,경기,219,235,"32,101",2013년
11,HA614,강원,4,4,608,2013년
12,HA614,충북,5,6,898,2013년
13,HA614,충남,1,1,227,2013년
14,HA614,전북,6,7,"1,285",2013년
15,HA614,전남,2,2,436,2013년
16,HA614,경북,5,4,820,2013년
17,HA614,경남,84,52,"10,325",2013년
18,HA614,제주,2,2,300,2013년
19,HA614,세종,-,-,-,2013년
2,HA614,계,983,"1,023","157,255",2014년
3,HA614,서울,544,572,"89,521",2014년
4,HA614,부산,35,37,"5,164",2014년
5,HA614,인천,20,20,"3,793",2014년
6,HA614,대구,37,37,"5,016",2014년
7,HA614,광주,3,3,459,2014년
8,HA614,대전,14,14,"2,564",2014년
9,HA614,울산,13,13,"2,109",2014년
10,HA614,경기,207,242,"32,305",2014년
11,HA614,강원,7,7,"1,274",2014년
12,HA614,충북,6,8,"1,172",2014년
13,HA614,충남,3,2,462,2014년
14,HA614,전북,11,10,"1,995",2014년
15,HA614,전남,3,2,667,2014년
16,HA614,경북,2,2,252,2014년
17,HA614,경남,80,50,"10,169",2014년
18,HA614,제주,2,3,333,2014년
19,HA614,세종,-,-,-,2014년
2,HA614,계,900,904,"140,412",2015년
3,HA614,서울,447,460,"73,428",2015년
4,HA614,부산,24,24,"3,074",2015년
5,HA614,인천,29,28,"3,956",2015년
6,HA614,대구,24,24,"2,885",2015년
7,HA614,광주,6,6,777,2015년
8,HA614,대전,11,9,"1,401",2015년
9,HA614,울산,16,17,"2,631",2015년
10,HA614,경기,226,252,"35,011",2015년
11,HA614,강원,3,3,565,2015년
12,HA614,충북,6,6,749,2015년
13,HA614,충남,4,4,696,2015년
14,HA614,전북,8,8,"1,453",2015년
15,HA614,전남,1,0,113,2015년
16,HA614,경북,1,1,226,2015년
17,HA614,경남,95,60,"13,221",2015년
18,HA614,제주,2,2,226,2015년
19,HA614,세종,-,-,-,2015년
2,HA614,계,"1,073","1,125","178,857",2016년
3,HA614,서울,585,637,"104,722",2016년
4,HA614,부산,39,46,"5,809",2016년
5,HA614,인천,24,24,"3,287",2016년
6,HA614,대구,20,20,"3,003",2016년
7,HA614,광주,9,8,"1,381",2016년
8,HA614,대전,13,12,"2,408",2016년
9,HA614,울산,7,7,"1,071",2016년
10,HA614,경기,240,262,"35,593",2016년
11,HA614,강원,5,5,706,2016년
12,HA614,충북,11,14,"2,089",2016년
13,HA614,충남,12,12,"2,390",2016년
14,HA614,전북,7,7,"1,127",2016년
15,HA614,전남,1,1,339,2016년
16,HA614,경북,2,1,229,2016년
17,HA614,경남,97,65,"14,359",2016년
18,HA614,제주,3,3,344,2016년
19,HA614,세종,-,-,-,2016년
2,HA614,계,"1,090","1,172","212,678",2017년
3,HA614,서울,626,700,"131,194",2017년
4,HA614,부산,73,83,"12,423",2017년
5,HA614,인천,21,20,"3,624",2017년
6,HA614,대구,24,24,"3,446",2017년
7,HA614,광주,7,7,"1,505",2017년
8,HA614,대전,18,18,"3,838",2017년
9,HA614,울산,7,7,"1,093",2017년
