,코드,요양기관소재지구분,환자수,총사용량,진료금액,년도
2,HA637,계,35,35,"6,854",2010년
3,HA637,서울,1,1,119,2010년
4,HA637,부산,-,-,-,2010년
5,HA637,인천,17,17,"3,648",2010년
6,HA637,대구,2,2,263,2010년
7,HA637,광주,-,-,-,2010년
8,HA637,대전,-,-,-,2010년
9,HA637,울산,1,0,139,2010년
10,HA637,경기,7,6,"1,249",2010년
11,HA637,강원,-,-,-,2010년
12,HA637,충북,1,1,145,2010년
13,HA637,충남,-,-,-,2010년
14,HA637,전북,-,-,-,2010년
15,HA637,경북,4,5,973,2010년
16,HA637,경남,2,2,319,2010년
17,HA637,제주,-,-,-,2010년
2,HA637,계,45,46,"10,105",2011년
3,HA637,서울,8,8,"1,412",2011년
4,HA637,부산,2,2,422,2011년
5,HA637,인천,18,17,"4,246",2011년
6,HA637,대구,2,2,313,2011년
7,HA637,광주,-,-,-,2011년
8,HA637,대전,-,-,-,2011년
9,HA637,울산,3,3,730,2011년
10,HA637,경기,6,7,"1,089",2011년
11,HA637,강원,1,1,506,2011년
12,HA637,충북,-,-,-,2011년
13,HA637,충남,-,-,-,2011년
14,HA637,전북,1,1,169,2011년
15,HA637,경북,4,5,"1,217",2011년
16,HA637,경남,-,-,-,2011년
17,HA637,제주,-,-,-,2011년
2,HA637,계,45,44,"11,356",2012년
3,HA637,서울,10,10,"2,346",2012년
4,HA637,부산,2,2,588,2012년
5,HA637,인천,14,14,"4,020",2012년
6,HA637,대구,-,-,-,2012년
7,HA637,광주,-,-,-,2012년
8,HA637,대전,-,-,-,2012년
9,HA637,울산,5,4,"1,131",2012년
10,HA637,경기,2,2,325,2012년
11,HA637,강원,-,-,-,2012년
12,HA637,충북,1,1,196,2012년
13,HA637,충남,1,1,196,2012년
14,HA637,전북,-,-,-,2012년
15,HA637,경북,9,9,"2,357",2012년
16,HA637,경남,1,1,196,2012년
17,HA637,제주,-,-,-,2012년
2,HA637,계,61,60,"16,041",2013년
3,HA637,서울,8,6,"1,782",2013년
4,HA637,부산,6,6,"1,404",2013년
5,HA637,인천,24,24,"7,214",2013년
6,HA637,대구,1,1,201,2013년
7,HA637,광주,2,2,497,2013년
8,HA637,대전,1,1,201,2013년
9,HA637,울산,5,5,"1,254",2013년
10,HA637,경기,6,6,"1,161",2013년
11,HA637,강원,-,-,-,2013년
12,HA637,충북,-,-,-,2013년
13,HA637,충남,1,1,201,2013년
14,HA637,전북,-,-,-,2013년
15,HA637,경북,5,6,"1,543",2013년
16,HA637,경남,2,2,586,2013년
17,HA637,제주,-,-,-,2013년
2,HA637,계,91,96,"24,287",2014년
3,HA637,서울,23,26,"7,292",2014년
4,HA637,부산,6,7,"1,431",2014년
5,HA637,인천,20,21,"5,928",2014년
6,HA637,대구,1,1,204,2014년
7,HA637,광주,2,2,511,2014년
8,HA637,대전,1,1,295,2014년
9,HA637,울산,6,6,"1,569",2014년
10,HA637,경기,21,20,"4,289",2014년
11,HA637,강원,-,-,-,2014년
12,HA637,충북,-,-,-,2014년
13,HA637,충남,-,-,-,2014년
14,HA637,전북,2,2,409,2014년
15,HA637,경북,6,6,"1,758",2014년
16,HA637,경남,2,2,405,2014년
17,HA637,제주,1,1,197,2014년
2,HA637,계,86,88,"22,425",2015년
3,HA637,서울,14,14,"4,003",2015년
4,HA637,부산,17,17,"4,667",2015년
5,HA637,인천,18,18,"4,992",2015년
6,HA637,대구,-,-,-,2015년
7,HA637,광주,3,4,"1,029",2015년
8,HA637,대전,-,-,-,2015년
9,HA637,울산,7,7,"1,768",2015년
