,Unnamed: 0,코드,요양기관소재지구분,환자수,총사용량,진료금액,년도
0,2,C8060,계,973,"1,083","48,578",2010년
1,3,C8060,서울,490,541,"24,788",2010년
2,4,C8060,부산,51,55,"2,500",2010년
3,5,C8060,인천,20,21,"1,021",2010년
4,6,C8060,대구,72,78,"3,414",2010년
5,7,C8060,광주,3,3,135,2010년
6,8,C8060,대전,28,30,"1,304",2010년
7,9,C8060,울산,13,14,569,2010년
8,10,C8060,경기,205,233,"10,021",2010년
9,11,C8060,강원,15,18,875,2010년
10,12,C8060,충북,11,11,534,2010년
11,13,C8060,충남,11,12,548,2010년
12,14,C8060,전북,2,2,86,2010년
13,15,C8060,전남,4,4,182,2010년
14,16,C8060,경북,27,32,"1,374",2010년
15,17,C8060,경남,21,24,"1,055",2010년
16,18,C8060,제주,3,4,172,2010년
17,19,C8060,세종,-,-,-,2010년
18,2,C8060,계,903,"1,038","46,390",2011년
19,3,C8060,서울,426,496,"22,415",2011년
20,4,C8060,부산,53,58,"2,671",2011년
21,5,C8060,인천,22,27,"1,228",2011년
22,6,C8060,대구,75,86,"3,884",2011년
23,7,C8060,광주,2,2,86,2011년
24,8,C8060,대전,23,28,"1,251",2011년
25,9,C8060,울산,13,15,645,2011년
26,10,C8060,경기,208,227,"9,736",2011년
27,11,C8060,강원,18,19,877,2011년
28,12,C8060,충북,16,16,771,2011년
29,13,C8060,충남,10,10,477,2011년
30,14,C8060,전북,2,3,139,2011년
31,15,C8060,전남,1,1,48,2011년
32,16,C8060,경북,22,30,"1,302",2011년
33,17,C8060,경남,13,13,557,2011년
34,18,C8060,제주,7,7,304,2011년
35,19,C8060,세종,-,-,-,2011년
36,2,C8060,계,948,"1,050","46,885",2012년
37,3,C8060,서울,465,511,"22,916",2012년
38,4,C8060,부산,81,84,"3,930",2012년
39,5,C8060,인천,25,27,"1,164",2012년
40,6,C8060,대구,55,61,"2,811",2012년
41,7,C8060,광주,5,6,279,2012년
42,8,C8060,대전,22,25,"1,114",2012년
43,9,C8060,울산,18,19,754,2012년
44,10,C8060,경기,196,224,"9,674",2012년
45,11,C8060,강원,14,14,641,2012년
46,12,C8060,충북,15,16,766,2012년
47,13,C8060,충남,9,9,443,2012년
48,14,C8060,전북,3,3,138,2012년
49,15,C8060,전남,2,2,75,2012년
50,16,C8060,경북,23,30,"1,379",2012년
51,17,C8060,경남,12,12,521,2012년
52,18,C8060,제주,5,6,280,2012년
53,19,C8060,세종,-,-,-,2012년
54,2,C8060,계,"1,157","1,334","60,526",2013년
55,3,C8060,서울,555,644,"29,132",2013년
56,4,C8060,부산,92,107,"5,241",2013년
57,5,C8060,인천,26,32,"1,390",2013년
58,6,C8060,대구,74,84,"3,933",2013년
59,7,C8060,광주,2,2,100,2013년
60,8,C8060,대전,47,50,"2,162",2013년
61,9,C8060,울산,18,18,743,2013년
62,10,C8060,경기,241,272,"12,037",2013년
63,11,C8060,강원,12,12,552,2013년
64,12,C8060,충북,18,19,965,2013년
65,13,C8060,충남,14,19,863,2013년
66,14,C8060,전북,1,1,50,2013년
67,15,C8060,전남,5,5,212,2013년
68,16,C8060,경북,25,36,"1,602",2013년
69,17,C8060,경남,16,20,909,2013년
70,18,C8060,제주,13,13,634,2013년
71,19,C8060,세종,-,-,-,2013년
72,2,C8060,계,"1,127","1,280","63,903",2014년
73,3,C8060,서울,612,680,"34,413",2014년
74,4,C8060,부산,97,103,"5,532",2014년
75,5,C8060,인천,24,28,"1,349",2014년
76,6,C8060,대구,69,80,"4,092",2014년
77,7,C8060,광주,3,3,160,2014년
78,8,C8060,대전,23,24,"1,278",2014년
79,9,C8060,울산,19,22,"1,122",2014년
80,10,C8060,경기,169,212,"9,523",2014년
81,11,C8060,강원,14,15,725,2014년
82,12,C8060,충북,24,26,"1,370",2014년
83,13,C8060,충남,18,21,977,2014년
84,14,C8060,전북,1,2,132,2014년
85,15,C8060,전남,7,7,312,2014년
86,16,C8060,경북,26,33,"1,681",2014년
87,17,C8060,경남,12,13,655,2014년
88,18,C8060,제주,11,11,581,2014년
89,19,C8060,세종,-,-,-,2014년
90,2,C8060,계,"1,169","1,296","77,889",2015년
91,3,C8060,서울,517,584,"34,833",2015년
92,4,C8060,부산,88,96,"6,022",2015년
93,5,C8060,인천,48,54,"3,132",2015년
94,6,C8060,대구,72,77,"4,717",2015년
95,7,C8060,광주,8,8,512,2015년
96,8,C8060,대전,62,65,"4,164",2015년
97,9,C8060,울산,33,35,"2,228",2015년
98,10,C8060,경기,223,252,"14,702",2015년
99,11,C8060,강원,21,22,"1,351",2015년
100,12,C8060,충북,9,9,571,2015년
101,13,C8060,충남,22,23,"1,341",2015년
102,14,C8060,전북,1,1,52,2015년
103,15,C8060,전남,8,9,512,2015년
104,16,C8060,경북,37,39,"2,380",2015년
105,17,C8060,경남,15,15,928,2015년
106,18,C8060,제주,7,7,446,2015년
107,19,C8060,세종,-,-,-,2015년
108,2,C8060,계,"1,378","1,531","100,517",2016년
109,3,C8060,서울,609,671,"43,909",2016년
110,4,C8060,부산,108,120,"8,058",2016년
111,5,C8060,인천,41,46,"2,938",2016년
112,6,C8060,대구,102,122,"8,203",2016년
113,7,C8060,광주,8,8,541,2016년
114,8,C8060,대전,70,77,"5,264",2016년
115,9,C8060,울산,42,46,"2,687",2016년
116,10,C8060,경기,224,249,"15,664",2016년
117,11,C8060,강원,38,42,"3,262",2016년
118,12,C8060,충북,21,24,"1,725",2016년
119,13,C8060,충남,32,38,"2,521",2016년
120,14,C8060,전북,4,4,206,2016년
121,15,C8060,전남,5,5,343,2016년
122,16,C8060,경북,33,34,"2,271",2016년
123,17,C8060,경남,30,32,"1,950",2016년
124,18,C8060,제주,13,14,976,2016년
125,19,C8060,세종,-,-,-,2016년
126,2,C8060,계,"1,506","1,710","124,030",2017년
127,3,C8060,서울,655,744,"53,703",2017년
128,4,C8060,부산,109,129,"9,227",2017년
129,5,C8060,인천,44,52,"3,860",2017년
130,6,C8060,대구,105,114,"8,485",2017년
131,7,C8060,광주,9,10,732,2017년
132,8,C8060,대전,85,88,"6,670",2017년
133,9,C8060,울산,28,31,"2,217",2017년
134,10,C8060,경기,260,295,"20,715",2017년
135,11,C8060,강원,46,55,"4,644",2017년
136,12,C8060,충북,24,27,"1,922",2017년
137,13,C8060,충남,36,38,"2,600",2017년
138,14,C8060,전북,6,6,396,2017년
139,15,C8060,전남,4,5,322,2017년
140,16,C8060,경북,30,31,"2,192",2017년
141,17,C8060,경남,53,59,"4,461",2017년
142,18,C8060,제주,21,26,"1,884",2017년
143,19,C8060,세종,-,-,-,2017년
144,2,C8060,계,"1,514","1,700","195,322",2018년
145,3,C8060,서울,684,762,"86,721",2018년
146,4,C8060,부산,91,98,"11,709",2018년
147,5,C8060,인천,66,76,"8,381",2018년
148,6,C8060,대구,93,106,"12,316",2018년
149,7,C8060,광주,10,11,"1,223",2018년
150,8,C8060,대전,74,84,"10,431",2018년
151,9,C8060,울산,25,25,"2,536",2018년
152,10,C8060,경기,259,291,"32,599",2018년
153,11,C8060,강원,58,70,"9,009",2018년
154,12,C8060,충북,23,23,"2,753",2018년
155,13,C8060,충남,22,26,"2,878",2018년
156,14,C8060,전북,1,1,119,2018년
157,15,C8060,전남,1,1,124,2018년
158,16,C8060,경북,26,30,"3,766",2018년
159,17,C8060,경남,57,66,"7,279",2018년
160,18,C8060,제주,30,30,"3,476",2018년
161,19,C8060,세종,-,-,-,2018년
162,2,C8060,계,"1,590","1,865","252,169",2019년
163,3,C8060,서울,679,816,"108,832",2019년
164,4,C8060,부산,102,108,"14,997",2019년
165,5,C8060,인천,55,78,"9,162",2019년
166,6,C8060,대구,102,114,"16,613",2019년
167,7,C8060,광주,8,8,"1,147",2019년
168,8,C8060,대전,76,82,"12,653",2019년
169,9,C8060,울산,43,48,"6,092",2019년
170,10,C8060,경기,259,312,"39,985",2019년
171,11,C8060,강원,67,76,"11,031",2019년
172,12,C8060,충북,38,40,"6,000",2019년
173,13,C8060,충남,41,44,"6,248",2019년
174,14,C8060,전북,3,3,534,2019년
175,15,C8060,전남,2,2,270,2019년
176,16,C8060,경북,40,42,"6,310",2019년
177,17,C8060,경남,65,75,"9,987",2019년
178,18,C8060,제주,16,16,"2,310",2019년
179,19,C8060,세종,-,-,-,2019년
180,2,C8060,계,"1,668","2,042","318,245",2020년
181,3,C8060,서울,711,904,"142,361",2020년
182,4,C8060,부산,110,124,"20,816",2020년
183,5,C8060,인천,75,94,"12,402",2020년
184,6,C8060,대구,104,116,"19,691",2020년
185,7,C8060,광주,5,5,776,2020년
186,8,C8060,대전,78,81,"14,371",2020년
187,9,C8060,울산,37,38,"6,009",2020년
188,10,C8060,경기,309,398,"55,435",2020년
189,11,C8060,강원,65,70,"11,221",2020년
190,12,C8060,충북,32,36,"6,293",2020년
